wrong_word,correct_word,review_label,review_reason,instances,unique_rows,wrong_in_processed_freq,correct_in_processed_freq,tweet_ids
کے,کہ,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,6,6,4087,960,"82687,264156,266086,269036,270961,662197"
کہ,کے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,5,5,960,4087,"267065,270466,271032,397897,499537"
کیسی,کسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,4,4,8,251,"11436,12498,150611,563221"
کے,کی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,3,3,4087,3360,"249450,265825,268657"
ہے,ہیں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,3080,1419,"89030,315507"
اس,اسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,1379,117,"22169,373243"
ہو,ہیں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,893,1419,"477134,661013"
ہم,ہمیں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,376,118,"440196,448465"
ہر,پر,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,168,1383,"9899,535615"
بے,ہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,98,3080,"210525,631684"
اسے,ایسے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,96,139,"20016,268100"
سی,سے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,72,2381,"18406,658756"
کردار,بدکردار,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,39,11,"251984,272074"
پے,ہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,29,3080,"286178,439860"
مان,ماں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,27,128,"22169,412251"
کروں,کرو,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,10,134,"441723,631729"
بر,پر,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,1,7,1383,"416631,416631"
رہیے,رہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,2,2,2,438,"159113,373625"
کے,نے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,4087,1414,563221
کی,کے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3360,4087,440057
کی,کیا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3360,804,613130
کو,کی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2675,3360,217805
سے,نے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2381,1414,425700
کا,کے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2277,4087,472205
