row_index,TweetId,occurrence_in_row,alignment_type,wrong_word,correct_word,review_label,review_reason,wrong_in_processed_freq,correct_in_processed_freq,wrong_in_original_freq,edit_distance,orthographic_variant,original_block,processed_block,CleanOriginal,CleanProcessed,TweetOriginal,TweetProcess
4,282,1,token_replace,ہوئ,ہوئی,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,7,78,15,1,False,ہوئ,ہوئی,اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئ تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا دفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا,اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئی تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا ڈفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا,@Ahmed_WB اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئ تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا دفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا,@Ahmed_WB اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئی تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا ڈفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا
33,1649,1,token_replace,باجوا,باجوہ,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,6,116,11,1,False,باجوا,باجوہ,آپ کو بتاتا چلو باجوا قادیانی ہے اور ان کے لئے قسم کھانا کوئ بڑی بات نہیں,آپ کو بتاتا چلو باجوہ قادیانی ہے اور ان کے لئے قسم کھانا کوئی بڑی بات نہیں,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوا  قادیانی ہے اور ان کے لئے قسم کھانا کوئ بڑی بات نہیں,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوہ قادیانی ہے اور ان کے لئے قسم کھانا کوئی بڑی بات نہیں
33,1649,1,token_replace,کوئ,کوئی,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,18,443,54,1,False,کوئ,کوئی,آپ کو بتاتا چلو باجوا قادیانی ہے اور ان کے لئے قسم کھانا کوئ بڑی بات نہیں,آپ کو بتاتا چلو باجوہ قادیانی ہے اور ان کے لئے قسم کھانا کوئی بڑی بات نہیں,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوا  قادیانی ہے اور ان کے لئے قسم کھانا کوئ بڑی بات نہیں,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوہ قادیانی ہے اور ان کے لئے قسم کھانا کوئی بڑی بات نہیں
34,1652,1,token_replace,کتو,کتوں,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,2,33,3,1,False,کتو,کتوں,تم پٹواریوں کی پوری نسل قابل مذمت ہے کتو,تم پٹواریوں کی پوری نسل قابل مذمت ہے کتوں,@AbidSherAli تم پٹواریوں کی پوری نسل قابل مذمت ہے کتو,@AbidSherAli تم پٹواریوں کی پوری نسل قابل مذمت ہے کتوں
48,2201,1,token_replace,چھوٹے,جھوٹے,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,15,29,14,1,False,چھوٹے,جھوٹے,تم ایک انتہائی چھوٹے غلیظ اور گھٹیا انسان ہو اور یہ تم ج؛ نتے ہو,تم ایک انتہائی جھوٹے غلیظ اور گھٹیا انسان ہو اور یہ تم جانتے ہو,@iqrarulhassan تم ایک انتہائی چھوٹے غلیظ اور گھٹیا انسان ہو اور یہ تم ج؛ نتے ہو,@iqrarulhassan تم ایک انتہائی جھوٹے غلیظ اور گھٹیا انسان ہو اور یہ تم  جانتے ہو
64,3156,1,token_replace,چھوڑ,چور,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,65,171,56,2,False,چھوڑ مشور,چور مشہور,اوو اچھی تربیت یہ چیخ چیخ کر بولنا اچھی تربیت ہوگیا تم وزیر ہو یا شریف خاندان کے پتلو نوکر نوکر ہو نوکر ہی رہو اپنی حثیت نہ بھولو تمہارا چھوٹا سا گلہری جو پوری دنیا میں چھوڑ مشور ہے اسکی کیا حثیت ایک کشمیری کے ساتھ ایسا کری,اوو اچھی تربیت یہ چیخ چیخ کر بولنا اچھی تربیت ہوگیا تم وزیر ہو یا شریف خاندان کے پتلو نوکر نوکر ہو نوکر ہی رہو اپنی حثیت نہ بھولو تمہارا چھوٹا سا گلہری جو پوری دنیا میں چور مشہور ہے اس کی کیا حثیت ایک کشمیری کے ساتھ ایسا کرے,@_ImranRiazKhan اوو اچھی تربیت 🤣🤣 یہ چیخ چیخ کر بولنا اچھی تربیت ہوگیا تم وزیر ہو یا شریف خاندان کے پتلو نوکر. نوکر ہو نوکر ہی رہو اپنی حثیت نہ بھولو. تمہارا چھوٹا سا گلہری جو پوری دنیا میں چھوڑ مشور ہے اسکی کیا حثیت ایک کشمیری کے ساتھ ایسا کری.,@_ImranRiazKhan اوو اچھی تربیت 🤣🤣 یہ چیخ چیخ کر بولنا اچھی تربیت ہوگیا تم وزیر ہو یا شریف خاندان کے پتلو نوکر. نوکر ہو نوکر ہی رہو اپنی حثیت نہ بھولو. تمہارا چھوٹا سا گلہری جو پوری دنیا میں چور مشہور ہے اس کی کیا حثیت ایک کشمیری کے ساتھ ایسا کرے.
66,3290,1,token_replace,آپنی,اپنی,probably_spelling_or_orthographic,"source also appears in processed corpus, but pair is a common orthographic variant",2,318,6,1,True,آپنی,اپنی,بڑوے قادیانی مفتی محمود صاحب کی تو آپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بے غیرت کے بچو صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,بڑوے قادیانی مفتی محمود صاحب کی تو اپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بےغیرت کے بچوں صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,@ullah_habab @JUI_NW @DurraniViews بڑوے قادیانی مفتی محمود صاحب کی تو آپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بے غیرت کے بچو صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,@ullah_habab @JUI_NW @DurraniViews بڑوے قادیانی مفتی محمود صاحب کی تو اپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بےغیرت کے بچوں صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے
66,3290,1,token_replace,بچو,بچوں,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,7,56,7,1,False,بچو,بچوں,بڑوے قادیانی مفتی محمود صاحب کی تو آپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بے غیرت کے بچو صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,بڑوے قادیانی مفتی محمود صاحب کی تو اپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بےغیرت کے بچوں صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,@ullah_habab @JUI_NW @DurraniViews بڑوے قادیانی مفتی محمود صاحب کی تو آپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بے غیرت کے بچو صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے,@ullah_habab @JUI_NW @DurraniViews بڑوے قادیانی مفتی محمود صاحب کی تو اپنی پارٹی تھی ان کا فاطمہ جناح کو ووٹ دینے کا کیا لاجک ھے بےغیرت کے بچوں صرف الزام لگانا آتا ھے دلیل کوئی نہیں ہوتا نیازی کتے یہودی ایجنٹ کی ناجائز اولاد قادیانی کتے
68,3468,1,token_replace,ہوئ,ہوئی,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,7,78,15,1,False,ہوئ,ہوئی,تاریخ لکھی جاۓ گی ایک وارداتیے نے ایک نسل کو تباہ کر کے یہ کہہ دیا میرے ساتھ گیم ہوئ ہے,تاریخ لکھی جاۓ گی ایک وارداتیے نے ایک نسل کو تباہ کر کے یہ کہہ دیا میرے ساتھ گیم ہوئی ہے,تاریخ لکھی جاۓ گی ایک وارداتیے نے ایک نسل کو تباہ کر کے یہ کہہ دیا میرے ساتھ گیم ہوئ ہے 😂,تاریخ لکھی جاۓ گی ایک وارداتیے نے ایک نسل کو تباہ کر کے یہ کہہ دیا میرے ساتھ گیم ہوئی ہے 😂
84,4061,1,token_replace,بھائ,بھائی,possible_real_word_candidate,source token appears somewhere in processed corpus; needs lexicon/human review,4,114,16,1,False,بھائ,بھائی,ایک گھٹیا قسم کے درباری صحافی کی باتوں کو سنجیدہ نا لیں جامی بھائ,ایک گھٹیا قسم کے درباری صحافی کی باتوں کو سنجیدہ نا لیں جامی بھائی,@ajmaljami ایک گھٹیا قسم کے درباری صحافی کی باتوں کو سنجیدہ نا لیں جامی بھائ,@ajmaljami ایک گھٹیا قسم کے درباری صحافی کی باتوں کو سنجیدہ نا لیں جامی بھائی 
