TweetId,TweetOriginal,TweetProcess
2,@pmln_org دو بے نسلئیے ، حرامخور منافق مل رہے ہیں پھر اپنے چوری بچانے کے لۓ,@pmln_org دو بدنسلئیے ، حرام خور منافق مل رہے ہیں پھر اپنے چوری بچانے کے لۓ
111,شاہ سلمان کی دعوت پر چین کے صدر کل سعودی عرب پہنچیں گے – ایکسپریس اردو https://t.co/l7YpLGcuRv,"شاہ سلمان کی دعوت پر چین کے صدر کل سعودی عرب پہنچیں گے – ایکسپریس اردو "
115,@Ahmad_Noorani لوگ تو پاکستانی ہیں یہ گھٹیا کیسے ہو گ۶ے اگر کسی سیاسی جماعت سے منسلک ہونے سے پاکستانی گھٹیا ہو گے تو آپ اور آپ کے ولدین پاکستنی نہ ہیں۔ذرا خدا کا خوف کرو۔الفاظ کی ادہیگی ہی ا چھے برے انسان کی پہچان ہے,@Ahmad_Noorani لوگ تو پاکستانی ہیں یہ گھٹیا کیسے ہو گ۶ے اگر کسی سیاسی جماعت سے منسلک ہونے سے پاکستانی گھٹیا ہو گے تو آپ اور آپ کے ولدین پاکستنی نہ ہیں۔ذرا خدا کا خوف کرو۔الفاظ کی ادہیگی ہی ا چھے برے انسان کی پہچان ہے
262,@OfficialShehr @TararAttaullah پنجابیوں کے اسی طرزِ عمل  اور اسی سوچ کی وجہ سے  آج ملک کی طول وعرض میں محرومی کی فضا قائم ہے یہ ملک زیادہ دیر تک اس سوچ کے ساتھ قائم نہیں رہ سکے گا ۰۰۰ Another Bangladesh in making,@OfficialShehr @TararAttaullah پنجابیوں کے اسی طرزِ عمل  اور اسی سوچ کی وجہ سے  آج ملک کی طول وعرض میں محرومی کی فضا قائم ہے یہ ملک زیادہ دیر تک اس سوچ کے ساتھ قائم نہیں رہ سکے گا ۰۰۰ Another Bangladesh in making
282,@Ahmed_WB اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئ تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا دفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا,@Ahmed_WB اسپین کی ٹیم بھی پاکستان کی کرکٹ ٹیم کی طرح اپنے اپنے پسند اور ناپسند پر سلیکٹ ہوئی تھی تو پھر ریزلٹ تو یہی انا تھا جب کوچ کو ریال میڈرڈ کا کوئی کھلاڑی پسند ہی نو ہو اور بارسلونا کا بوڑھا اور گھٹیا ڈفینڈر کپتان بنا دیا جائے تو پھر تو یہی ہوگا
303,"@SardarTanveerIK @ImranKhanPTI جب ہم کہتے ہیں بجلی ہماری قبضہ تمارا نامنطور،ریاست ہماری قبضہ تمارا نامنظور تو قابضین کے یہ گماشتے ہم پر ایجنٹی اور غداری کے فتوے لگاتے ہین۔جب انکو انکے آقاؤں سے ٹھڈے پڑتے ہیں تو انکو کشمیر اور کشمیریت یاد ا جاتی۔
جب ہم انکو کہتے سرنگر کی آزادی سے پہلے مظفرآباد کو ازاد کراو تب یہ","@SardarTanveerIK @ImranKhanPTI جب ہم کہتے ہیں بجلی ہماری قبضہ تمارا نامنطور،ریاست ہماری قبضہ تمارا نامنظور تو قابضین کے یہ گماشتے ہم پر ایجنٹی اور غداری کے فتوے لگاتے ہین۔جب انکو انکے آقاؤں سے ٹھڈے پڑتے ہیں تو انکو کشمیر اور کشمیریت یاد ا جاتی۔
جب ہم انکو کہتے سرنگر کی آزادی سے پہلے مظفرآباد کو ازاد کراو تب یہ"
311,"@ShaheerSialvi @AliGillani_7 شہیر بھائی ایسے بیان آنے چاہئے تاکہ کشمیریوں کو بھی پتا چل رہا ہے کتنا ہمدم ہیں پڑوسی ملک پاکستان کے سیاست دان  اس سے ہم کشمیریوں کو سیکھ ہی مل رہی ہے  
#شہباز_شریف_معافی_مانگو","@ShaheerSialvi @AliGillani_7 شہیر بھائی ایسے بیان آنے چاہئے تاکہ کشمیریوں کو بھی پتا چل رہا ہے کتنا ہمدم ہیں پڑوسی ملک پاکستان کے سیاست دان  اس سے ہم کشمیریوں کو سیکھ ہی مل رہی ہے  
"
315,"#مرزا_قادیانی_کے_جھوٹ
ہمیں تو آج تک سمجھ نہیں آئی کہ کم عقل عیسائی حضرات عیسیٰ علیہ السلام و مریم علیہا السلام کی عزت کرنے والے قادیانیوں کو کیوں پال رہے ہیں؟
 قرآن مجید کے ان منکرین کو اور حضرت عیسیٰ علیہ السلام کے گستاخین کو سزائیں کیوں نہیں دی 
#سرمایہ_زیست 
@Sajid2k
 6","ہمیں تو آج تک سمجھ نہیں آئی کہ کم عقل عیسائی حضرات عیسیٰ علیہ السلام و مریم علیہا السلام کی عزت کرنے والے قادیانیوں کو کیوں پال رہے ہیں؟
 قرآن مجید کے ان منکرین کو اور حضرت عیسیٰ علیہ السلام کے گستاخین کو سزائیں کیوں نہیں دی 
@Sajid2k
"
324,کیا پتہ اس گدھے کو بھی ہینڈلرز کی طرف سے گرین سگنل مل چکی ہو! اگر کھوتا شہباز سپیڈ وزیراعظم بن سکتا ہے تو گدھا جواد ڈم کیوں نہیں؟؟؟؟؟ https://t.co/I4OzfZ3Ki7,"کیا پتہ اس گدھے کو بھی ہینڈلرز کی طرف سے گرین سگنل مل چکی ہو! اگر کھوتا شہباز سپیڈ وزیراعظم بن سکتا ہے تو گدھا جواد ڈم کیوں نہیں؟؟؟؟؟ "
360,@xJayWJx جی جی بڑےآرام سےکہتاھےبچپن میں ماں کہتی تھی میں بہت سیدھا ھوں/ستربہتر سالہ بندے کو  اب ماں کا جملہ سمجھ آیا کہ ماں درست کہتی تھی جب کرسی چھنی/ میں نہی مانتی کہ ماں نے کہا/ دراصل ماں کےدس بچےبھی ھوں تووہ ھر بچےکی رگ رگ سےواقف ھوتی ھےماں کا قیاس غلط ھو نہی سکتاجھوٹ مکرفریب کے پلندے,@xJayWJx جی جی بڑے آرام سے کہتا ھے بچپن میں ماں کہتی تھی میں بہت سیدھا ھوں/ستربہتر سالہ بندے کو  اب ماں کا جملہ سمجھ آیا کہ ماں درست کہتی تھی جب کرسی چھنی/ میں نہی مانتی کہ ماں نے کہا/ دراصل ماں کےدس بچے بھی ھوں تووہ ھر بچےکی رگ رگ سے واقف ھوتی ھےماں کا قیاس غلط ھو نہی سکتا جھوٹ مکرفریب کے پلندے
